Probe	1H	4H	10H	20H	28H	36H	44H	48H	72H	1W	4W
Saa2	0.393801682	8.269069166	9.346695991	9.597452609	9.192303913	8.060449966	8.366288092	7.359468686	7.107393374	5.622069312	-0.115916092
Lcn2	0.465092019	7.737590913	8.479264148	8.758990215	8.207365879	7.452923524	8.02403902	7.599955997	6.992503609	4.43712134	-0.386288536
Saa1	0.191561976	6.689356727	7.630835508	7.870523487	7.554108244	6.637575535	6.917841609	6.085834701	5.819773435	4.828225164	0.16700375
Saa3	0.335178406	5.430299677	4.662834386	6.830223101	4.550448976	3.585352429	3.308360675	2.627557634	2.308963568	0.650243704	-0.357735775
Mt2	4.902124136	7.873654934	6.010213308	5.675275174	6.702366543	5.110734422	7.007411974	6.286049782	5.390371175	0.487104586	-1.914381113
D17H6S56E-5	-0.265761472	0.188566027	0.081735222	0.577034685	2.160192871	4.572344628	7.066329875	6.522599552	5.459712127	1.980739554	0.057316583
Mt1	4.29953876	7.153587793	6.39823173	4.978089028	6.462341219	5.095251163	6.405294888	5.677380593	4.834322313	0.465112341	-1.948601516
Hsd3b5	-0.486722381	-4.455639418	-6.001444453	-3.889689258	-5.247408268	-5.941898613	-5.55742813	-5.114578572	-5.403795113	-2.510523163	0.215234338
Elovl3	-0.063827502	-1.352155957	-5.115780418	-1.990027096	-2.877430595	-5.781304558	-6.507025911	-4.842175757	-5.884543614	-1.937966779	-0.455609971
Car3	-0.258950149	-0.521369556	-3.222845539	-5.682174105	-5.900647898	-5.394325925	-4.922217875	-4.846759359	-3.781847492	-1.194378378	-0.088989242
Ly6d	0.074133201	1.602092485	4.637481333	3.751527213	5.421748821	4.929467634	4.924181288	4.909168088	4.925759473	2.501967044	0.262428809
Cdc20	-0.299857213	-0.307058758	-0.293730891	-0.106276699	1.623964977	3.137885945	5.188546469	5.400512806	4.382476465	2.056675734	0.654428436
Igfbp1	3.130600394	3.408957425	0.519727239	0.383776579	2.32616865	-3.015905377	-0.619337457	0.562392174	-0.278905061	-0.793576785	-1.54696801
Cxcl1	0.396125037	6.14338208	2.651051748	3.125230296	3.869692	2.84842502	3.553034936	3.815558015	4.027011453	2.521086445	0.383216734
Orm2	-0.186315879	2.286819186	3.514727357	4.219600221	4.525035536	4.431041027	4.9004988	4.727603413	4.83786128	3.721160754	-0.079572619
Serpina4-ps1	1.012678823	2.304318483	-1.556959942	-0.862400662	-3.442534355	-2.601485961	-3.526586867	-3.398521915	-3.057386597	-2.665064946	0.555188804
Lpin1	2.635379122	1.048908854	-0.558892344	-2.048696988	-1.746329821	-1.98225963	-2.740150388	-1.028815478	-1.680413058	-1.816404986	-1.906125019
Serpina3n	0.388755027	4.949680879	5.127556846	4.278660089	3.444239054	3.244536919	3.891238712	3.621090523	2.584151504	0.836686534	-0.085478009
Cidec	1.046329635	3.874698976	5.671656513	1.503043715	4.444768309	3.294025604	1.191570007	0.525472735	0.336768276	0.057378691	0.028885181
Rgs16	2.705084557	0.422149279	-1.062559627	-1.980968608	-0.376945952	-1.942870968	-2.51602096	-2.089297942	-2.371261933	-2.024647966	-2.403620729
Thrsp	0.275594551	-0.528803808	-4.180821127	-3.634638921	-4.482439047	-2.540107191	-3.151210486	-2.97074897	-0.088621427	-0.440686424	-0.433713845
Inmt	-0.662634522	-1.358337745	-3.328141292	-5.141444771	-4.94581628	-2.89952102	-3.140120455	-3.573515061	-2.025613655	-0.796113288	-0.237809949
Stmn1	-0.356966706	-0.690036488	-0.625272913	0.063465496	1.106574224	2.863793009	4.562412055	4.264970416	3.254487432	1.08012671	0.013090763
Prtn3	-0.067289798	-0.079166315	0.276559692	1.938396698	2.128035503	2.734375891	4.329989761	4.418602798	4.775963683	2.434921119	0.010208031
Scd1	-0.522290827	-1.454901092	-1.807784693	-2.399062754	-3.28458996	-3.935189144	-4.583375301	-4.570254397	-1.207176573	0.619416385	-0.059237925
Adck3	-0.765067876	-3.141322788	-5.143489902	-1.788700338	-3.667600008	-4.140676792	-2.48450754	-2.15416107	-1.153107507	0.082682625	-0.152354589
Tifa	-0.534903029	4.704027989	2.171141855	2.00646399	3.17980275	1.741394843	3.467055287	2.976559455	3.160314924	1.781660053	0.563970543
A2m	0.010199514	3.174916195	3.508345471	2.803458535	0.307095273	0.752407511	1.32344019	0.840392624	1.070148313	0.053533666	0.001102556
Ube2c	-0.155081417	-0.168794176	-0.114537721	-0.037834648	1.5030832	2.518280226	4.586588697	4.782758985	3.577440804	0.943791996	0.053854267
Ccnb2	-0.057232048	-0.153639604	-0.131107956	-0.052096948	1.246624107	2.61022809	4.464276694	4.779861998	3.642952649	1.303785069	0.384385402
Cyp4a14	-0.166640242	2.402626924	2.863694552	2.421957656	2.619730749	2.906437153	2.126849849	2.200265515	1.204753021	0.293222458	-1.123432999
Cdk1	-0.065186456	-0.202496834	-0.254305109	0.115249233	1.180317949	2.985355455	4.556184387	4.538669605	3.558676409	1.091946582	0.138768126
Cdca3	-0.261652543	-0.349190171	-0.237652482	-0.097034284	1.041540999	2.560063368	4.512732738	4.566728601	3.559375822	1.133512133	0.091949505
Pbk	-0.109047362	-0.157113126	-0.20773587	0.098388706	1.176751675	2.901148629	4.777862729	4.245493988	3.492144549	1.041994669	0.111398401
Gm20419	0.917264075	3.19872459	5.338764139	2.417236964	4.894171764	3.677650951	1.875796553	1.840099606	1.890376332	1.085524993	0.730683987
Steap4	1.069277844	6.030481222	3.247242489	2.692667752	3.084650775	2.748643242	4.103515925	3.424394653	2.784940851	1.373094911	0.326879478
Gm4956	-0.383978978	-2.020984717	-4.058161531	-3.97494651	-4.232580024	-4.085093116	-4.154327309	-4.212603436	-3.437340375	-1.309506973	-0.490073961
Aqp8	-1.417247251	-3.941328476	-4.442750973	-3.205590031	-3.94850385	-3.695945641	-2.628727204	-2.130925332	-1.212024356	-0.391672387	-0.634857168
Apcs	-0.545876197	2.637809527	3.591995375	3.624312727	3.248566568	2.822915488	3.453655971	3.266254779	3.135164981	0.765237171	-0.43568474
Hamp2	-0.705563548	-0.916905041	-1.772187007	-3.292479966	-3.849440234	-3.590534474	-4.384028624	-4.063584263	-1.890656341	-0.105917253	-1.182136907
Apoa4	-0.165606883	1.453839211	3.545145913	2.577027186	4.007106479	3.490477057	3.495083114	3.634174264	3.012357653	0.889641785	-0.564386566
Gm11223	-0.340165452	-0.536438966	-0.529117452	0.006190429	0.992492602	2.58126828	4.295824991	3.975512445	2.979339016	0.941483037	-0.066004105
Upp2	1.112154346	-0.512581513	-3.962289394	-3.00309532	-2.993068228	-0.961072729	-3.077708751	-2.507191337	-2.025732517	-0.906126704	-0.394807919
Plk1	-0.039262244	0.001853497	-0.076385357	0.005826575	1.249230225	2.183574953	4.47394743	4.491373342	3.475186575	1.074318097	0.238868987
Isyna1	0.240375684	0.763222508	1.171753077	2.321676448	2.918187108	3.753314596	4.434155612	4.464890045	4.277219405	1.841487916	0.079334134
Ccna2	-0.081306656	-0.102296955	-0.116479233	0.071103627	1.037920185	2.665512718	4.283690928	4.21754471	3.390570346	1.203801396	0.25558612
mmu-mir-2134-2	-0.285802587	-1.259626545	-1.113416821	-1.610851555	0.66160757	-0.055536284	0.434981487	0.383129205	2.092800098	1.136870667	-1.888240133
Hsd3b3	-0.426845473	-1.915961853	-5.274355051	-2.277133343	-2.684426201	-2.060158456	-1.761027047	-1.560307029	-1.000970051	-0.08929182	0.016167721
Cdkn1a	2.443317897	2.818097308	-0.527198096	0.997296572	-0.847784145	0.161289487	1.509870522	1.319597473	0.770030703	-0.813191825	-1.709935453
Mfsd2a	2.807858889	3.100006994	3.305098597	1.042838576	2.796585524	2.389676515	0.794604325	0.446976919	0.554969238	-0.311455376	-1.278321826
Mki67	-0.108999914	-0.138065843	-0.155034786	0.068174859	0.917042498	2.527529144	4.407488169	3.958173347	3.369329438	1.128065561	0.167165095
Aurka	-0.039035771	-0.102927195	0.063727855	0.201348794	1.230561073	2.560440188	4.219634209	4.302915293	3.376877907	0.911026798	0.183357051
Ckap2l	-0.098280095	-0.127685629	-0.117923453	0.00827355	0.884536808	2.334407574	4.310378322	4.19101063	3.210202952	1.058297447	0.214054758
mmu-mir-689-2	-0.343767502	0.857202251	-1.041426917	-1.37748208	-1.132152481	0.04867958	-1.646273006	-2.043065924	-0.71028475	-1.338287441	0.608995945
Reg3b	0.018905494	1.440229048	2.536512934	4.401401484	2.5897749	1.945871723	1.19446545	1.086207118	0.432843131	0	0
Mcm6	-0.262584874	-0.453210427	-0.078761244	1.206128393	1.146178243	4.047891734	3.710978491	2.628074281	2.249595311	0.910293449	-0.046005525
Rrm2	1.018706259	1.046954345	-0.374931313	0.175240854	0.46372314	3.626276531	4.01953476	3.165354255	2.676086971	0.51376927	-0.173167191
Tubb6	0.225035541	2.655406322	1.96635835	0.791852458	2.432839135	2.670101768	4.386903167	4.337395037	3.498825319	1.172383587	0.289898803
Mcm5	-0.214531819	-0.341209799	0.115534645	1.065042377	1.26581757	4.169285243	3.671993115	2.734479415	1.994869988	0.490368942	0.028292392
Osgin1	-2.643427137	-2.173348686	-0.329092494	0.909220143	1.097600818	0.849560778	1.894289386	1.223518009	1.66128483	1.302488697	1.633372822
Cyp7a1	-0.143685531	-3.629536454	-2.763636155	0.378897609	-1.726243888	0.75697662	-0.888173995	-0.446819499	0.153730527	0.351070822	-1.018316978
Top2a	-0.109244657	-0.153073724	-0.162148814	0.125165833	0.858022414	2.582535622	4.261826646	3.75689529	3.024067756	0.964252276	0.096133475
Rnf125	-0.186831273	-1.782790736	-3.527834643	-1.018592074	-2.537853121	-3.215684884	-1.846709095	-1.293524428	-1.37985752	0.603699263	0.930585083
Ccnd1	-0.172723538	1.136581408	2.489642087	1.521060472	3.378235319	4.20050867	2.729078132	2.578543114	2.677316918	1.859174956	1.1264288
Kif20a	-0.097542208	-0.113899939	-0.075013556	-0.055058063	0.909262084	1.945491982	3.92706063	4.130557182	3.183886094	1.142570999	0.201549053
Gm3776	0.083427643	-0.808020553	-0.920108675	-1.58295262	-1.160659137	0.34467358	0.337883678	1.37953181	4.218514627	1.699852213	0.304671543
G6pc	2.122362359	-0.843989423	-0.500279721	-0.097318021	-0.480041	-3.192869429	-1.125003417	-0.412780561	-1.528352956	-0.067891007	-0.196656853
Gsta1	0.062129441	-0.838713822	-1.088696852	-1.848761841	-1.391990233	0.149817364	0.10221914	1.196391417	3.936563266	1.559677247	0.309538559
Ccnb1	-0.046326261	-0.044149782	-0.059585745	-0.018160312	1.018816126	1.8902938	3.723973756	4.216477579	3.187177396	0.847551643	0.150322012
Fgl1	0.146418266	1.901136167	2.921099991	3.453023116	3.759262861	3.417886847	3.670579047	3.667253773	3.229947611	1.852735537	-0.222419931
2010003K11Rik	0.839456746	3.964018456	3.984792736	1.672912395	4.262763981	3.215479826	2.711643053	1.964112707	1.928007774	1.328418612	0.067837818
Ckap2	-0.115418232	-0.089397864	-0.089376716	0.049607876	0.551604865	2.130152701	4.002824663	3.912750988	3.009012809	1.129528845	0.124347571
Syt12	0.068311623	3.921412227	3.756732719	1.834971726	3.048740923	1.971975818	2.413766625	1.977136823	1.573571864	0.496426959	0.059019159
Birc5	-0.237323411	-0.317873177	-0.323142077	-0.148229324	0.698302687	2.357570622	3.829509314	3.64933266	2.677483135	0.579686959	-0.033343945
Acot3	-0.124488263	0.096418966	2.754557488	1.731274909	2.349311244	3.431853531	1.474966216	0.925233543	1.279442111	-0.135442063	-0.352698092
Tpx2	-0.075396813	-0.081741003	-0.069534469	0.050862002	0.975457899	2.235470552	3.905634629	3.898975111	2.954001458	0.85196426	0.070913376
Dbp	-0.143589625	-0.029946763	2.840337697	0.083537918	1.851308678	3.490488382	0.038215458	0.17616632	0.132115205	0.040644763	0.156503296
Nuf2	-0.12644428	-0.14315813	-0.146342646	0.032901073	0.803670456	2.246734891	4.001860143	3.724771048	2.770080126	0.787434949	0.187213207
G0s2	1.243473401	0.08895815	2.525549812	0.985914386	2.430790983	0.834407188	-0.247852047	-0.497543775	-0.775308329	-0.307025285	0.757437957
Cdkn3	-0.079478764	-0.08293357	-0.060693323	0.00902657	0.952144959	1.972534496	3.497415577	4.034785259	3.012599962	0.814773163	0.097578163
Cyp17a1	0.073376434	0.830236948	3.092518772	2.392022413	3.346601288	2.751274033	1.662508961	1.485532386	1.95197301	0.448616355	-1.197831491
Kif22	-0.118310596	-0.044876488	-0.073718665	0.038636103	0.917448634	2.107298165	3.944420957	3.788755649	2.78058802	0.886253421	0.124801223
Gadd45g	2.756521356	3.469953793	1.752583851	1.121780798	1.687014238	0.335649826	1.186496394	0.780822722	0.095070709	-0.556527494	-0.560116165
Hmmr	-0.066106686	-0.05904527	-0.070862444	0.052254607	0.842373563	1.96458209	3.773520817	3.900728089	2.997954455	0.918688356	0.142796229
Ect2	0.11153673	-0.2204998	-0.007106201	0.379949414	0.763070023	2.123281955	3.808473071	3.915952729	3.124865595	0.81187842	0.149722407
Ddit4	2.168404214	1.123343313	-1.622970958	-0.900319522	-1.959414532	-1.430933797	-0.991197975	-0.93512817	-0.801813871	-0.498457762	-1.051449461
Nek2	-0.123980503	-0.278583785	-0.182932022	0.310449959	0.884297683	2.465635271	3.581248521	3.600601921	2.590039673	0.80324178	0.175633003
Mad2l1	-0.203326323	-0.474615653	-0.171800266	0.219388975	0.553889574	2.65712604	3.457889427	3.378290334	2.246609067	0.674762492	0.018682189
Shcbp1	-0.116325532	-0.257993574	-0.21360953	-0.015556401	0.657290282	2.473757985	3.653560786	3.4085867	2.525186875	0.649476829	0.056411964
8430408G22Rik	-2.514364101	-2.539699448	-2.203928729	-2.429893979	-0.764328369	-3.486247002	-3.054332113	-2.046110143	-1.863894676	-0.027520985	-0.38421546
Esco2	-0.092860198	-0.286496848	-0.289862156	0.037971346	0.473887929	2.262345577	3.618476988	3.497319275	2.559206518	0.94819804	0.225705154
Scd3	-0.192238281	-1.23218609	-1.285779733	-1.785376777	-2.664740248	-2.903804814	-3.0928456	-3.163035105	-0.546073084	1.132056298	0.233600777
Trp53inp1	2.678917326	-0.886425713	-1.090318865	-0.528167664	-1.481599994	-1.231205468	-0.522400063	-0.338021398	-0.836043617	-0.219238662	-0.44429242
Tacc3	0.019858256	-0.027114401	-0.12462255	0.180389218	0.79618326	2.305877204	3.707039308	3.578821416	2.624677846	0.597344428	0.12969625
Inhbe	-0.383503834	1.488402449	3.269513597	2.159154348	3.140986782	1.885988604	1.058601696	0.526088098	0.32253355	0.59345717	0.681093311
Gck	0.298717785	-1.961483604	-3.213128659	-0.921509475	-3.219721248	0.598571373	-1.100618387	-0.988719665	-0.059539479	-0.622448598	-0.688234389
Cenpm	-0.677709822	-0.841577857	-0.917814077	0.208834623	0.520569263	2.118799825	3.118988805	2.711049538	1.861580841	0.739638533	-0.259249039
Spc25	-0.040213714	-0.442380243	0.110915231	0.545078552	1.048406987	2.681676165	3.551424033	3.30080586	2.352122047	0.74469284	0.172589326
Hamp	0.724475859	2.991993668	2.37359322	0.942747955	1.161728951	1.497417136	-0.333139534	-0.296365475	-0.75390588	-1.86183271	0.563995957
Keg1	-0.106716854	-2.425086097	-3.487764125	-2.076536219	-2.611064411	-2.80758489	-2.700423211	-2.28182802	-1.088919438	-0.574768521	0.294685739
Ppp1r3g	2.92267702	-0.390135136	0.136859474	-0.345900088	-0.074126458	-0.283769143	-0.459790351	-0.304514435	-0.451934457	-0.428352378	-0.373295246
Aurkb	-0.069050523	-0.128061272	-0.095652789	0.058522314	0.681809584	2.173661812	3.814925594	3.39393362	2.500126747	0.7147475	0.055838036
Selenbp2	0.329021044	0.005564065	-2.307677097	-2.545293376	-2.156814507	-2.25210776	-2.535562825	-1.993996059	-1.857362301	-1.352386451	0.476220092
Dusp1	2.89672405	-0.514760995	-1.082129873	-0.747760993	-1.226520289	-0.854688481	-0.829842369	-1.078667128	-1.462148679	-0.363978313	0.011376677
Hsd3b2	-0.481058678	-2.666065629	-3.666439762	-1.84111379	-2.991281591	-1.823269039	-2.009100411	-1.637983534	-0.92833748	0.064875668	0.330957228
Mafb	2.667436476	-0.43256594	-0.238466157	-0.752462515	-0.47534294	0.497475943	-1.054115131	-1.190390706	-1.079984888	-0.69228302	-0.425245651
Nusap1	-0.102579971	-0.123478653	-0.11119874	-0.024663819	0.661246121	1.355874774	3.603777926	3.630387469	2.686670936	0.823769903	0.054672252
Tnfrsf12a	0.962979796	2.099311343	3.659192039	1.950030051	3.340831853	3.149252436	2.964440987	2.549331458	2.173413627	0.129435922	-0.207229303
Socs3	1.211604642	4.306786431	2.882096254	2.760890612	3.294168492	2.527785751	3.206286695	2.689661259	2.559418221	1.503400074	0.444398811
2810007J24Rik	-0.178277506	-0.812839267	-2.453674194	-2.510568773	-2.524405916	-2.354228449	-3.0064835	-2.694485536	-3.871721758	-0.315712968	0.118818607
Gm13775	-0.276500125	-0.428601887	-2.1500599	-2.39280838	-2.532307495	-2.399224119	-3.258072368	-2.789773222	-2.929772378	-0.573761075	1.151562837
Sucnr1	-1.308349271	-3.377937472	-2.871722433	-2.867274071	-3.502213749	-2.967338453	-3.542461931	-3.242985244	-2.065340057	-0.532249108	0.479623566
Uhrf1	-0.097154925	-0.069401132	-0.098562771	0.389860224	0.666693019	4.065927422	2.480336229	1.605644753	1.224037156	0.38771972	-0.000375379
Acnat2	-0.017827151	0.331098562	2.413964364	2.807348443	2.361603154	2.377197878	2.820407091	2.821778523	2.841063832	1.345970084	-0.518295825
Gm6484	0.766797976	-2.527138625	-0.738192233	1.204554433	-0.771138515	1.566423971	0.259012841	-0.488447684	1.212580531	0.077824984	0.75883937
Txnip	2.213385573	1.530777364	2.190970089	-0.478657954	1.283537719	-1.169202958	-1.006687196	-0.174623209	-0.666970941	-0.07622594	-0.297002767
Prc1	-0.053883876	-0.074524173	-0.074070168	-0.007032525	0.742617128	1.728027495	3.449217119	3.520230461	2.63098467	0.604598464	0.060670964
1810011O10Rik	1.900167784	-0.396973811	-1.691287212	-0.631661928	-1.827040737	-0.449456575	-1.263174509	-1.281093879	-0.258199865	-0.480965051	-1.415815225
Lrg1	0.206922544	2.987964724	3.124938635	2.748650873	2.894052722	2.48423358	2.658062657	2.466580203	2.14496554	1.1552338	0.002298869
Ppp1r3c	-0.649831015	-2.803844762	-3.333808965	-0.327294197	-2.455223345	-2.116806749	-1.217089212	-1.503116273	-1.193626873	-0.53879719	-0.512540788
Spc24	-0.432360874	-1.072860209	-1.806137994	-0.7947832	-0.763647321	1.728913214	2.062213682	1.675873508	1.686382368	0.228412879	-0.062692431
Derl3	1.224604311	0.618505013	0.604906289	2.536849345	1.04590583	-0.258510337	0.199458887	0.611692829	-0.065513657	1.127386756	0.561916106
2700094K13Rik	-0.33850487	-0.836363714	-0.976024223	0.016710987	0.083236863	1.7112981	2.858329787	2.774163594	1.738635904	0.344108334	-0.224675233
Mcm3	-0.154955706	-0.222235113	0.446848008	0.751921908	1.238538312	3.646895013	2.739896901	1.880279162	1.204415508	0.472141396	0.195636386
Cyp4a31	0.040277073	1.213341053	2.077960446	1.905051609	2.178107794	3.100184582	2.030520334	2.022471859	1.521745475	0.196412611	-0.585679182
St3gal5	2.29772394	2.397519419	2.717402202	1.093231632	2.134626123	1.565358303	-0.040929384	0.011899849	0.167603941	-1.093538369	-1.403970983
Nr4a1	3.687923173	0.445400545	0.154851828	0.130314689	1.747811414	0.195928597	-0.094865711	-0.043828686	-0.095614942	0.02100844	0.257182029
Marco	0.278740618	0.556431464	1.464094547	2.542631472	2.973370291	2.2924363	2.476066724	2.34021303	3.254083108	3.043682087	0.552722633
Cenpa	-0.379506459	-0.63058103	-0.239511034	-0.023642435	0.613256679	1.597131339	2.898921795	3.277110749	2.211844815	0.623898302	0.26484118
Hp	0.23681786	2.108464671	2.857414795	3.115887445	3.103151888	2.648277983	2.975845609	2.660821718	1.982841237	1.035478025	-0.192971215
Smc4	-0.217713778	-0.357039232	0.126176615	0.110865877	0.614980681	2.181777584	3.215702114	3.123071198	2.4083145	0.797185563	0.185896143
Acss2	-1.000595133	-2.182792304	-3.54596274	-2.142973641	-2.501797231	-2.355817879	-2.349797747	-2.282431837	-0.209036028	-0.454579032	-0.457264779
Cyp8b1	-0.303398597	-1.08299065	-2.757740736	-1.038969175	-1.021904351	-1.541621069	-3.258934091	-2.602035232	-2.177926785	-0.988965572	-0.633964154
Nr1d1	0.221526199	0.3221525	1.37947636	-1.313717433	2.561878185	0.386615879	-1.43321485	-0.273884447	0.190611739	1.010471827	1.800525897
Egr1	0.468437982	1.808685846	-0.44789561	-0.058813245	2.300384676	0.050191507	0.684970971	0.496215069	1.143471633	1.589066255	0.851767281
Nnmt	1.253187959	3.324004046	3.672516808	2.46081394	3.382598378	2.475422417	2.594528802	2.172414292	2.237668099	1.136806793	0.314057811
Mup21	-0.16066277	-0.218449315	-1.322019378	-1.569675562	-1.590981784	-2.066729705	-2.414639956	-2.519428445	-3.959526041	-2.607591095	-0.080383409
Incenp	-0.10681296	-0.124460147	0.161009128	0.133191117	0.650334457	2.068062655	3.454289292	3.216821794	2.348888484	0.74165508	0.155530784
Agxt2l1	0.694274307	-0.313607696	-2.985106244	-1.785063644	-2.078572897	-1.075502018	-1.610725131	-1.841269635	-1.449779622	-0.44961854	0.015869221
Kif11	-0.079301997	-0.139208916	-0.089256165	0.006546843	0.536787266	1.729898806	3.494655077	3.181561371	2.290529216	0.625567459	0.036307065
Hsd17b6	-0.094574138	-1.077773674	-2.393334351	-2.621125956	-0.593535848	0.557550303	-0.127115486	-0.105600408	-0.151938628	0.549438209	0.19510382
Mcm2	-0.137434544	-0.354929088	0.603999448	0.879853099	1.352274492	3.478850209	2.683580341	1.957118636	1.492045249	0.504584102	0.160646766
Tcf19	-0.386538599	-0.686050325	-0.302308452	0.428288499	0.6608669	2.804864768	2.988062438	1.991414446	1.602048989	0.593599275	-0.001741188
Gm14097	2.233913958	0.689899434	1.127435317	0.076996766	2.018231361	1.023040978	-0.868477836	-0.967428756	-1.635511436	-0.397314255	-0.198637975
Gsta2	-0.04756501	-0.865192735	-1.665707907	-3.030331139	-2.346655602	-1.61053133	-1.662800193	-1.12642122	0.659057706	0.773547711	0.121304764
Abca8a	-0.065303086	-1.132222479	-3.45987543	-2.090388268	-2.170740772	-2.022110031	-1.710993523	-1.399644877	-0.920430553	-0.399191007	0.105320092
Insig1	-0.715176311	-3.706201913	-2.242334705	-0.657013903	-1.607701943	-0.872639342	-0.808720715	-1.217848205	0.8205106	0.469673682	0.514103622
Smc2	-0.162993075	-0.307001343	0.183096423	0.355811909	0.481724863	2.377312528	3.298476974	2.904590159	2.138484191	0.540608705	0.092960178
AC163694.1	2.030306495	3.763756877	2.674370583	0.694787215	2.754307362	2.78994345	2.423106416	1.695045494	1.31823626	0.189460159	0.936461396
Acot2	0.144786917	1.232365485	2.618779435	0.58254092	1.671567164	2.505838685	0.446367941	0.314676691	0.233046939	-0.280275375	-0.415019149
Creld2	0.536027955	0.410890908	2.291777686	1.755538203	1.128735177	0.612335901	1.710835751	1.939072223	1.677274129	1.26986668	0.977741836
Pdk4	0.50039005	1.650162108	2.057866408	0.688818733	1.50596406	-0.933392397	0.092307957	0.409965637	0.056997689	0.656679235	0.088572238
D2Ertd750e	-0.041735233	-0.067188387	-0.047928142	0.01691337	0.559215669	1.667149589	2.886265183	3.421356156	2.415711743	0.693719204	0.131849725
Actg1	2.039447742	3.418003539	2.743871055	0.817739967	3.061145232	2.743226125	2.633624276	1.971113571	1.498213462	0.412907466	0.482469804
Cyp4a10	-0.357419022	1.173418569	1.845649855	1.511893942	1.616145027	1.708911488	1.021476297	1.112067128	0.03692309	-0.06836445	-0.560788692
Angptl4	1.044775648	0.95785004	1.511704192	0.372968023	1.305650488	-0.720702156	-0.970839034	0.195744366	-1.541092608	-2.350626014	-1.709526343
Orm1	-0.162503541	1.803743598	2.532402722	2.891744495	2.75398174	2.455796035	2.622012968	2.381229994	2.127774968	1.221624119	-0.022118205
Gm12715	2.021240375	3.402778115	2.717719275	0.799972616	3.046404876	2.727399498	2.610963331	1.945654609	1.498985099	0.421327642	0.485877612
1500017E21Rik	-0.885518425	-1.564998695	-3.074628424	-2.148419384	-1.855918116	-3.033127406	-2.897934591	-2.455791012	-2.563397984	-0.881271734	-0.164944349
Cyp4a12a	-0.082795787	-0.442354982	-1.118284667	-1.247449779	-1.754214976	-2.328103329	-2.662797983	-2.570540741	-3.346046145	-0.805677084	0.632004956
Cyp2a5	-0.006354623	-1.292897618	-2.270872427	-2.690109428	-1.943892059	0.542187616	-1.039269968	-0.720593437	0.625083566	0.157870802	0.075856406
Rrm1	-0.318291791	-0.153425322	0.242534982	0.412165254	0.741591584	2.900971307	2.963497641	2.241855681	1.69017697	0.465810313	0.028538253
Dnajc12	-0.193930399	0.362447335	2.240910266	2.172707215	2.464526532	2.332265613	2.623744637	2.609578218	2.29091253	0.890721509	-0.023904196
Orm3	0.358162748	1.532616276	1.454990635	1.563817177	2.05299661	2.508658922	2.010748243	2.334992917	2.956419432	3.271741839	0.406822438
Gm20400	1.345756062	3.148207917	3.610889049	1.170936977	2.244819445	1.503150979	1.029345697	0.878576997	0.653666238	0.233436087	-0.179612201
9030619P08Rik	-0.696525412	-1.687541624	-1.628525204	-0.112723963	0.406831242	1.090959223	0.697743343	1.454013887	1.350123788	1.22888122	-0.279713687
Serpine1	1.201084792	2.795066098	2.960813301	0.946490863	2.504058112	1.696568257	0.378458027	0.628400487	0.406560915	0.070428028	-0.058430557
Il1rn	-0.018924284	3.347868879	1.522475403	0.876287348	2.309565071	0.793798094	1.013870551	0.783325247	0.699875751	0.333587521	0.016041015
Gnat1	0.541169211	2.478967037	3.475590761	2.226931637	3.467738831	2.481103325	2.025987911	1.829871584	1.955927909	1.070035876	0.954600268
Slc16a5	1.133459921	1.213982291	3.026238984	1.912779721	3.294675451	3.11775656	2.075606911	1.680813748	2.859722922	1.136325553	0.10966746
Pkmyt1	-0.013437779	-0.229723194	-0.185438322	0.862661985	0.358681973	2.607672157	3.168184619	2.626640973	1.759815413	0.570345834	-0.026562921
Slc25a30	1.06857281	1.273734221	2.567614448	1.148758354	2.684202495	0.48240472	0.085473896	0.123264359	-0.745023117	-0.060659428	1.263426014
Anln	-0.024742926	-0.06164525	-0.094702997	-0.015782628	0.526063757	1.503200461	3.280772107	3.098306585	2.37569951	0.657301457	0.098693832
Ostb	-0.442010868	-0.312601639	-0.754756221	-0.52711462	-0.031117031	1.794277115	1.698873342	1.792617919	2.468979488	1.138953931	0.037110986
Tgm1	-0.324929395	1.62276375	2.586900722	1.823168797	2.656238915	2.462182757	2.140604198	1.457290316	2.112587714	0.745735879	0.307933336
Csad	0.31746905	0.119320504	-1.689861179	-1.156937965	-2.337294418	-1.875948903	-2.922010795	-2.313036246	-2.27819637	-2.157728432	-0.271680369
H2afx	-0.173130326	0.048294516	0.759548798	0.259761898	0.864143331	2.221824501	3.456095042	2.926226168	1.983601007	0.47013433	-0.213486842
Akr1d1	-0.37569938	-1.365842769	-3.448135695	-0.984820792	-1.43536173	-0.432642214	-0.376020079	-0.225822073	0.746504924	0.38670157	-0.073579042
Itih4	0.185002521	2.488739686	2.961521901	2.814752795	2.309249721	2.161893524	2.42517016	2.167619538	1.933876264	1.217568888	0.132824362
Cyp2b10	1.636193333	2.36775429	0.089064395	-0.386477367	-0.516927319	-0.632967018	-0.300025009	0.072999573	1.496179999	0.681842768	-0.521621496
Il1r1	1.375602048	3.483872364	1.393488318	1.631688893	1.646556686	1.16655306	2.025993535	1.797474605	1.29748578	-0.213490273	-0.789619003
Btg2	2.228204482	3.163270282	0.690983733	-0.246124294	2.59544483	0.436368521	1.023636575	0.820504834	1.191105725	0.795742663	0.417069992
