Probe	1H	4H	10H	20H	28H	36H	44H	48H	72H	1W	4W
Dsg1c	-0.398258561	-0.920303385	-1.092506805	-0.985919648	-1.117928966	-0.787381697	-0.887125499	-0.925358739	-0.995497692	-0.5013101	-0.415172656
Ftsj3	0.14579503	0.753526065	1.141874394	0.754754248	0.668559275	0.913742693	0.925992805	0.890260773	0.783715501	0.231188623	0.083822231
Atp5l-ps1	-0.49985364	-0.902834161	-0.641749632	-0.376038506	0.079285308	-0.286151027	-0.083159855	0.03285337	-0.087111189	-0.14089753	-0.797772957
Mppe1	-0.011180543	0.606656502	1.048664004	0.349881924	0.940548204	0.481898118	0.146861987	0.30005061	0.327548354	0.255668558	0.2351476
Anp32e	0.002498882	-0.076636637	0.46779171	0.160374438	-0.066438977	0.463347295	1.24239857	1.017561866	0.637259366	0.114686462	0.085484853
Tcerg1	0.043838012	0.737106891	0.719453776	0.686484945	0.496912807	1.18999695	1.07333076	0.877359739	0.939290387	0.221937961	0.247665594
Mettl7b	-0.294520707	-1.064071049	-0.212158457	0.129967761	0.343134374	0.302652907	-0.071624317	-0.258760457	0.094253885	-0.000433693	-0.081517302
Npm3	0.34056417	0.642468483	0.208871783	-0.406882382	-0.329780931	-0.277827893	0.182611063	0.218306618	-0.139939886	-0.566097839	-0.664819572
Trim47	-0.305239325	0.22644628	0.240395584	0.135918101	0.134901319	1.04123646	0.766186314	0.774231053	0.421620862	0.177403032	-0.084335676
S100a10	-0.603513773	-0.302760702	0.260846495	0.093702089	0.266849636	-0.302192973	0.415313239	0.620760318	0.486254179	0.195772433	-0.174622493
Cacybp	-0.085037	-1.124324386	-0.273394976	0.135749258	-0.250636187	0.32680236	0.507772821	0.499149737	0.304775451	0.046626599	-0.099431935
Mgmt	-0.31353214	-0.828229021	-1.170151208	-0.748165982	-0.867348817	-0.575134563	-0.195298867	-0.23121475	0.095644347	-0.053713936	-0.061606603
Ogt	-0.482180395	-0.566831062	0.183162789	0.088604549	-0.544784756	0.27014582	-0.380490108	-0.252719928	-0.251309908	0.026333129	0.294856158
Dyrk2	-0.010461745	-0.69009824	0.075944604	-0.079482704	-0.070007344	-0.467387311	-0.510557659	-0.389392905	-0.403310338	0.316192756	0.537575317
Ndst1	-0.168446955	-0.715841309	-0.213326942	0.300372775	-0.126633097	-0.102054494	0.112101402	0.117963794	0.290537348	0.562392269	0.480841249
Gm17676	-0.064160264	-0.357526546	-0.215492681	-0.210067591	-0.357526546	-0.20389052	-0.357526546	-0.357526546	-0.357526546	-0.357526546	-0.357526546
Ssr1	-0.146934868	-0.10689977	0.581105568	0.603658409	0.326201213	0.499163681	0.910895482	0.982572738	0.843927084	0.278646266	0.104482916
Txnl4b	-0.566378456	-1.557160185	-0.336187085	-0.656314146	-0.538297926	-0.678703435	-0.592378613	-0.284735443	-0.465299364	-0.278512916	-0.142915948
Gm12355	0.253722211	1.104690485	0.672768575	0.455380792	0.675355314	0.771885404	1.082842589	1.009090089	0.814163379	0.169933684	0.185385773
Sbno2	0.179768534	1.409034846	0.817713447	0.839444389	0.628746836	0.548400059	0.840026444	0.69975793	0.727048307	0.395708992	0.343332214
Gm15542	0.162784189	-0.073037175	0.196127028	0.319033207	0.417607774	0.959241118	0.492148887	0.77241652	0.879877103	0.197684444	0.054758805
Mrpl49	-0.628517583	-1.045392545	-0.435318274	-0.031909933	-0.250191866	0.132801092	0.402881278	0.205689979	0.078206244	-0.034398381	-0.05279383
0610037P05Rik	-0.304522189	-0.607793468	-0.12207278	-0.010070536	-0.010564533	0.178254613	0.904215861	0.913075587	0.5674277	0.178889017	0.012857658
Abcc6	0.048921682	-1.041280599	-1.037531359	-0.47423184	-0.642972464	-0.509995919	-0.420498658	-0.375809712	-0.479947613	-0.062742798	0.14994529
Gucy2c	-0.010850672	0.3137617	0.890578104	0.510079028	0.592502215	0.768940489	0.93766066	0.837029097	0.786108976	0.241946961	0.046165341
Plekhg3	-0.707926296	-0.837996312	0.20272594	-0.077746811	0.105077428	-0.008649693	0.102099826	0.219756956	-0.075039443	-0.020206251	-0.24431495
Cyp4f16	-0.022408325	-0.072192455	0.273102252	0.387682731	0.484884878	0.659138646	0.79849621	0.946090172	1.389918409	0.417152683	0.147260396
U6	-0.00052457	0.375863974	0.443635058	0.197117964	0.462621734	0.526518904	-0.16048572	0.177961682	-0.035171113	0.021777302	-0.127062776
Zyg11a	0.551479893	0.886085765	1.026619913	0.504856665	0.638328196	1.241895591	0.832801035	0.7831371	0.622549233	0.302392116	0.707860306
Loxl2	-0.050441957	-0.202371451	0.029979294	0.344040635	0.295656046	0.518092464	0.756487659	0.820846293	0.768262341	0.655771551	0.203581805
U6	0.001199084	0.448493841	0.525769082	0.158083618	0.366366564	0.292571577	0.284169777	0.074509558	-0.132004996	0.119589292	-0.296153565
Sptlc2	-0.174739235	1.042846507	0.618291001	0.272919259	0.45447234	0.681888797	0.818626996	0.90310681	1.028127244	0.516615523	0.243857949
Gpr155	-0.24895011	-0.722033794	-0.797203701	-0.118330621	-1.113817764	-0.565998944	-0.116742408	-0.311933615	0.047575178	0.111299211	0.109579282
AI480526	-0.582971025	-0.491110813	-0.255320028	0.009601013	-0.695633074	-0.702371424	-0.499076991	-0.37585052	-0.105307658	0.189894283	0.371051256
Casp9	-0.57099529	-1.162938754	-0.571105837	-0.43106725	-0.453306872	-0.391640433	-0.540988714	-0.557806077	-0.294450819	0.339016616	0.297836614
Mfsd6	0.048250682	-0.178437251	0.968729911	0.571480789	0.669868138	0.821378336	0.691843119	0.88805854	0.658924602	0.327660396	0.157388121
Anxa6	-0.181674338	-0.999014264	-0.506400661	0.001392969	-0.193178147	0.046605523	0.050657833	0.222337782	0.519262015	0.246000163	0.028303006
Rbbp7	-0.074333256	-0.242592219	-0.004028073	0.015493296	-0.06647551	0.733417385	1.087375716	0.936838261	0.550889505	0.166023704	0.032666744
Smg5	-0.13928367	0.333957922	0.871539849	0.701723032	0.432052259	0.725884829	1.09961965	0.937373819	0.751698707	0.243820239	0.224369733
Slc43a1	0.536878289	1.093861338	0.190964774	-0.142114745	0.397686776	0.407252007	0.459352054	0.40309679	0.845788616	0.264256006	0.119424387
Aimp2	-0.251633632	-0.033231933	0.814377163	0.186286549	0.209726119	0.728839532	0.777547351	0.689314322	0.355275761	-0.067970327	0.082343606
Lrit2	-0.075772661	-0.468172128	-1.033307765	-0.63746374	-0.831104277	-0.839567936	-1.027428113	-0.948285771	-0.735044106	-0.182553809	0.065922999
Aldob	0.559777402	0.9135818	1.108652469	0.1964808	0.243795494	0.195326069	-0.146346261	-0.127181928	0.042058301	0.087316182	-0.305950163
Ttyh2	-0.065532954	-0.323885086	0.497475145	0.509534578	0.788596794	0.734208085	0.628501921	0.624145014	0.95495163	0.618646671	0.393441018
Lrrc20	-0.274709188	-0.355600769	0.488037101	0.441948819	0.395835122	0.699952341	0.453091782	0.44660305	0.558424479	0.605945559	0.150394033
